url_length,dot_count,has_https,has_at,has_hyphen,has_ip,has_suspicious_words,label
23,2,1,0,0,0,0,0
25,2,1,0,0,0,0,0
24,2,1,0,0,0,0,0
26,2,1,0,0,0,0,0
27,2,1,0,0,0,0,0
26,2,1,0,0,0,0,0
27,2,1,0,0,0,0,0
24,2,1,0,0,0,0,0
29,2,1,0,0,0,0,0
24,2,1,0,0,0,0,0
33,1,0,0,1,0,1,1
34,1,0,0,1,0,1,1
31,1,0,0,1,0,1,1
38,1,0,0,1,0,1,1
35,1,0,0,1,0,1,1
36,1,0,0,1,0,1,1
39,1,0,0,1,0,1,1
37,1,0,0,1,0,1,1
34,1,0,0,1,0,1,1
42,1,0,0,1,0,1,1
21,3,0,0,0,1,1,1
22,2,0,0,0,0,1,1
24,2,0,0,0,0,1,1
25,1,0,1,0,0,1,1
28,2,0,0,1,0,1,1
